Name,Forks,Watchers,Contributors,Commits,Branches,Open Issues,Closed Issues,Open PRs,Closed PRs,Stargazers,Size,Language,Has Issues,Has Projects,Has Downloads,Has Wiki,Has Pages,Has Discussions
java-design-patterns,25064,3823,347,3454,6,183,663,16,1632,81833,30752,Java,True,False,True,True,False,False
rust,10776,1485,4361,224208,6,8911,39489,694,62202,81449,921681,Rust,True,True,True,False,False,False
storybook,8448,955,1699,50378,365,2038,8697,100,10312,78541,671173,TypeScript,True,True,True,False,False,True
animate.css,16436,2270,123,662,13,27,821,26,768,77784,1778,CSS,True,True,True,False,True,True
thefuck,3355,835,183,1636,2,213,456,74,593,77382,4031,Python,True,True,True,True,False,False
models,46251,2780,805,9016,64,1029,6080,169,3566,75776,612965,Jupyter Notebook,True,True,True,True,False,False
stable-diffusion-webui,14295,677,406,4382,18,1875,3156,53,1755,74820,30110,Python,True,True,True,True,False,True
awesome-chatgpt-prompts,9421,998,72,395,1,,,262,208,74368,624,HTML,False,False,True,False,True,False
realworld,6902,1554,76,881,17,52,460,15,588,74336,36176,TypeScript,True,True,True,False,False,True
laravel,23712,4459,639,6895,17,,,1,4514,73429,10633,PHP,False,False,True,False,False,False
LeetCodeAnimation,13919,2590,15,246,1,17,42,1,74,73103,509807,Java,True,True,True,True,False,False
papers-we-love,5162,3054,246,862,1,4,204,0,501,72092,230560,Shell,True,False,True,False,False,False
Font-Awesome,12422,1382,3,13,6,5339,13531,31,634,71422,110561,JavaScript,True,True,True,True,False,True
every-programmer-should-know,6764,2003,81,282,2,24,18,21,141,70709,301,,True,True,True,True,False,False
django,29202,2273,2389,31705,26,,,139,16664,70603,238154,Python,False,False,True,False,False,False
FiraCode,2985,704,116,580,2,360,910,4,176,70051,88596,Clojure,True,True,True,True,False,True
advanced-java,18289,2614,37,731,1,2,137,0,114,69964,33645,Java,True,False,True,False,True,True
free-for-dev,7601,1567,1394,5083,1,,,4,2779,69872,7013,HTML,False,False,True,False,True,False
Web-Dev-For-Beginners,10899,2576,205,1608,5,12,222,62,704,69619,87472,JavaScript,True,False,True,True,True,True
bitcoin,34222,3933,910,37480,5,346,7085,288,18778,69517,232989,C++,True,True,False,False,False,False
opencv,55298,2643,1476,32896,6,2367,7317,108,13708,68780,516913,C++,True,False,True,True,False,False
HelloGitHub,8978,2767,11,156,1,103,2359,0,31,68769,4451,Python,True,True,True,False,False,True
gin,7434,1367,393,1683,13,511,1514,178,1380,68651,3222,Go,True,False,True,False,False,False
awesome-vue,9334,2148,2139,5020,9,29,186,14,3755,68566,13003,,True,True,True,False,False,False
tailwindcss,3516,595,268,5158,62,8,2835,7,2201,68293,95651,HTML,True,False,True,False,False,True
svelte,3310,873,590,7099,26,758,4238,53,3346,67699,90560,TypeScript,True,True,True,True,False,False
frp,11459,1568,91,1069,4,112,2648,2,656,67409,27830,Go,True,True,True,False,False,False
spring-boot,38602,3381,988,42704,16,605,28776,37,5648,67216,166957,Java,True,True,True,True,False,False
hugo,7176,1071,762,7506,33,612,5849,70,4270,67047,114520,Go,True,True,True,False,False,False
nvm,7203,964,337,2131,31,315,1646,58,962,67001,3307,Shell,True,False,True,False,False,False
json-server,6582,1013,76,872,9,571,474,86,271,66833,3761,JavaScript,True,True,True,False,False,False
pytorch,18309,1648,2736,60143,21517,11026,22520,906,66705,66753,1293337,Python,True,True,True,True,False,False
mall,26789,2224,1,954,2,28,431,7,99,66069,57964,Java,True,True,True,True,False,False
moby,18670,2957,2211,46097,12,3899,18016,322,22981,65905,197151,Go,True,True,True,True,False,True
neovim,4639,981,988,25993,8,1395,8328,303,13520,65834,246384,Vim Script,True,True,True,True,False,False
