Name,Forks,Watchers,Contributors,Commits,Branches,Open Issues,Closed Issues,Open PRs,Closed PRs,Stargazers,Size,Language,Has Issues,Has Projects,Has Downloads,Has Wiki,Has Pages,Has Discussions
pixijs,4747,1014,437,6476,57,130,5036,17,3548,39919,91423,TypeScript,True,True,True,True,False,True
marktext,3038,396,140,1599,7,988,1564,52,1007,39758,72432,JavaScript,True,True,True,True,False,False
nw.js,3952,1595,108,4967,93,860,6334,10,816,39587,129258,JavaScript,True,True,True,True,False,False
project-layout,4405,575,49,210,1,72,28,37,78,39551,339,Makefile,True,True,True,True,False,False
trackerslist,6597,1281,2,2728,1,5,372,0,47,39501,4879,,True,False,True,False,True,False
chinese-poetry,8157,1110,55,598,1,90,81,2,145,39501,202492,JavaScript,True,False,True,True,True,True
ghidra,4868,962,233,9495,3,1178,2637,171,873,39474,304880,Java,True,True,True,True,False,True
openpilot,7281,1255,451,9282,167,224,1851,156,8901,39333,2338444,Python,True,True,True,True,False,True
Alamofire,7463,1081,249,1589,18,37,2649,2,1023,39329,31860,Swift,True,True,True,False,True,True
DeepFaceLab,8781,1070,19,1313,3,526,755,3,120,39270,848593,Python,True,True,True,True,True,False
pm2,2537,661,273,4998,11,738,3998,33,823,39053,13025,JavaScript,True,False,True,False,False,False
minio,4675,613,416,10647,6,28,6510,20,9166,38941,114169,Go,True,False,True,False,True,True
dubbo,25899,3078,498,6716,22,768,5389,60,5969,38876,47932,Java,True,True,True,True,False,False
styled-components,2444,366,311,3473,18,155,2536,9,1222,38849,34784,TypeScript,True,False,True,False,False,True
materialize,4841,996,260,3878,24,622,4595,177,1264,38830,164290,JavaScript,True,True,True,True,True,False
leetcode-master,9473,357,445,6443,1,114,54,50,1866,38656,94871,Shell,True,True,True,True,False,False
langchain,4269,426,699,1930,156,1116,471,261,2630,38639,31178,Python,True,True,True,True,False,True
PowerShell,6570,1420,431,10075,4,3342,7791,86,7591,38531,91884,C#,True,True,True,False,False,True
rclone,3476,572,593,7044,134,789,4061,83,2005,38446,183664,Go,True,True,True,True,False,False
yolov5,13801,347,313,2651,17,247,7712,68,2383,38443,14876,Python,True,True,True,True,False,True
rustlings,6653,311,322,1782,164,98,391,18,1007,38407,2259,Rust,True,False,True,False,False,False
PythonDataScienceHandbook,16883,1770,16,235,7,102,75,90,91,38368,45158,Jupyter Notebook,True,True,True,True,True,False
pandas,16267,1116,2925,32380,16,3368,21160,148,28518,38337,325933,Python,True,True,True,False,False,False
huginn,3439,735,222,3605,20,595,1443,83,1130,38328,8608,Ruby,True,True,True,True,False,False
frontend-dev-bookmarks,5092,2028,102,390,1,18,80,98,233,38286,1048,,True,True,True,False,False,False
act,969,150,159,910,9,111,769,10,810,38259,6508,Go,True,True,True,True,False,True
uni-app,3458,506,200,10184,12,1041,2860,17,313,38092,1287544,JavaScript,True,True,True,True,False,False
grpc,9995,1373,812,53025,96,593,10160,222,21855,37903,480451,C++,True,True,False,True,True,False
discourse,7972,897,845,49217,161,,,86,20918,37871,584361,Ruby,False,False,True,False,False,False
ripgrep,1701,289,320,1730,14,145,1313,70,651,37837,4427,Rust,True,False,True,False,False,True
Motrix,4174,478,68,1155,5,609,542,2,253,37833,69453,JavaScript,True,True,True,True,False,True
CppCoreGuidelines,5093,1969,321,2100,13,209,872,6,974,37799,26036,Python,True,True,True,True,True,False
edex-ui,2277,1473,60,1428,1,6,553,0,475,37623,31579,JavaScript,True,False,True,True,False,True
Leaflet,5622,901,787,7648,26,363,4660,123,3693,37517,57158,JavaScript,True,True,False,False,True,True
core,6863,757,384,4932,32,612,3403,370,3159,37511,22803,TypeScript,True,True,True,False,False,True
front-end-interview-handbook,5384,774,152,628,1,15,75,5,256,37328,5327,JavaScript,True,True,True,True,False,True
zx,903,151,42,480,4,34,293,7,202,37320,754,JavaScript,True,False,True,False,True,True
python-patterns,6784,1670,110,830,1,9,73,0,320,37321,3777,Python,True,True,True,True,False,False
terraform,8624,1192,1733,31112,510,1651,18113,166,12937,37220,299851,Go,True,False,True,False,False,False
impress.js,6819,1238,83,413,9,57,415,17,357,37201,4678,JavaScript,True,True,True,True,True,False
vuetify,6780,601,817,14140,106,993,11142,128,4407,37126,83396,TypeScript,True,False,True,False,False,True
bypass-paywalls-chrome,2719,566,55,616,1,1,998,1,193,37038,1321,JavaScript,True,True,True,True,False,False
fastlane,5516,755,1249,16413,166,283,12261,150,7013,37019,81433,Ruby,True,True,True,False,False,True
dive,1484,344,38,412,10,130,151,30,136,36758,4503,Go,True,True,True,False,False,False
hexo,4474,824,170,3589,5,72,3767,10,1137,36736,7569,JavaScript,True,False,True,True,False,True
react-use,2921,258,173,2947,35,314,226,246,1706,36734,84055,TypeScript,True,True,True,True,True,False
what-happens-when,3407,757,72,294,1,137,32,551,191,36626,260,,True,True,True,True,False,False
gitea,4617,493,1207,15417,13,1954,8901,161,13513,36566,280370,Go,True,False,True,True,False,False
freecodecamp.cn,1369,788,313,8845,8,140,445,12,60,36461,30959,CSS,True,True,True,True,False,False
MPAndroidChart,8932,1125,69,2070,6,1998,2873,123,370,36445,21720,Java,True,True,True,True,False,False
meilisearch,1319,263,142,7975,94,122,1360,18,1526,36432,54003,Rust,True,True,True,False,False,True
awesome-java,7108,2233,342,1630,1,2,118,5,903,36421,1983,,True,True,True,True,False,False
hiring-without-whiteboards,3077,683,1028,1978,2,,,15,1313,36346,3345,JavaScript,False,False,True,False,False,False
awesome-chatgpt-prompts-zh,11442,261,19,149,1,29,50,0,45,36242,39668,,True,True,True,True,False,True
powerlevel10k,1914,163,245,4143,5,28,2074,4,195,36177,71951,Shell,True,False,True,False,False,False
whisper,3986,338,55,115,5,,,19,125,36171,8446,Python,False,False,True,False,False,True
FFmpeg,10883,1365,1296,110612,34,,,1,380,36106,353203,C,False,False,True,False,False,False
brew,8812,694,891,35911,1,37,3981,17,10607,35980,72228,Ruby,True,False,True,False,True,False
nocodb,2277,333,144,14310,123,407,1752,36,2108,35920,920929,TypeScript,True,True,True,True,False,True
joplin,3975,455,535,9218,221,309,4973,29,2826,35857,370883,TypeScript,True,True,True,False,False,False
awesome-react-components,3072,736,236,902,2,1,44,1,352,35771,998,,True,True,True,True,False,False
uBlock,2693,863,104,10880,4,13,3437,1,365,35756,138265,JavaScript,True,True,True,True,True,False
spark,26953,2048,1936,36697,24,,,273,40867,35729,476331,Scala,False,True,True,False,False,False
30-Days-Of-JavaScript,8501,808,40,563,1,58,48,187,337,35710,124951,JavaScript,True,True,True,True,False,True
quill,3025,471,134,5368,17,1259,1925,78,498,35608,14999,JavaScript,True,False,True,False,True,False
video.js,7363,1283,438,3943,15,405,4619,29,2976,35547,126608,JavaScript,True,True,False,True,True,True
gpt4free,9067,364,66,470,4,79,278,10,141,35551,158820,Python,True,True,True,True,False,True
Rocket.Chat,8537,890,820,23526,586,2498,12505,581,13008,35517,741493,TypeScript,True,True,True,True,True,False
php-src,7542,1421,905,132141,441,332,1138,308,9340,35448,511357,C,True,False,True,False,False,False
ailearning,11119,1684,42,233,1,3,104,0,528,35432,171448,Python,True,True,True,False,True,True
open-source-mac-os-apps,2182,944,287,1282,5,42,144,40,604,35337,5871,,True,True,True,True,True,True
ChatGPT,3826,307,25,566,4,367,278,10,125,35327,31230,Rust,True,False,True,False,True,True
cheat.sh,1697,588,50,901,9,104,123,13,140,35294,4558,Python,True,True,True,True,False,False
esbuild,1005,293,98,3616,3,295,2439,24,325,35276,17533,Go,True,False,True,False,False,False
kubernetes-the-hard-way,12173,983,52,285,3,81,292,76,285,35277,659,,True,True,True,True,False,False
Deep-Learning-Papers-Reading-Roadmap,7218,2126,27,114,1,49,4,42,50,35217,3638,Python,True,True,True,True,False,False
slate,22016,511,132,702,6,48,553,5,931,35166,2410,SCSS,True,False,True,True,True,True
swiper,9718,698,267,3391,8,186,4734,8,773,35128,79267,JavaScript,True,True,True,False,False,True
openai-cookbook,5191,599,73,398,45,74,112,29,186,34960,84122,Jupyter Notebook,True,True,True,False,False,True
lazygit,1406,256,193,4151,9,438,893,34,1097,34955,37596,Go,True,True,True,True,False,True
Magisk,9281,1415,266,6272,2,11,4862,16,1913,34948,57279,C++,True,False,True,False,True,False
json,6014,755,249,4533,11,56,2068,35,897,34858,180610,C++,True,True,True,False,True,True
interview_internal_reference,9285,1515,28,375,1,27,18,3,41,34822,1283,Python,True,True,True,True,False,False
kong,4458,1015,330,9339,94,180,3918,60,5840,34822,28568,Lua,True,False,True,False,False,True
react-hook-form,1743,170,261,3454,14,5,3786,9,2160,34806,27802,TypeScript,True,True,True,False,False,True
open-source-ios-apps,5056,1457,334,6813,8,0,256,0,871,34750,22679,,True,False,True,True,False,False
styleguide,13297,1312,80,499,10,195,117,121,290,34617,2674,HTML,True,False,False,False,True,False
AppFlowy,2105,298,166,4030,39,520,578,20,1326,34619,46336,Rust,True,True,True,False,False,True
jeecg-boot,13507,839,13,909,2,22,4144,16,170,34597,52023,Java,True,True,True,True,True,False
node-v0.x-archive,7508,2058,2,2,143,0,6380,0,3796,34562,144238,,True,True,False,True,False,False
fullPage.js,7441,851,141,2146,8,158,3843,21,487,34551,16442,JavaScript,True,True,True,True,False,False
lerna,2318,259,310,2569,28,305,2133,1,1171,34548,34409,TypeScript,True,False,True,False,False,True
awesome-rust,2197,782,748,3968,5,10,112,0,1354,34547,6709,Rust,True,False,True,False,False,False
query,2241,196,603,2025,13,29,1258,15,1632,34507,34800,TypeScript,True,True,True,False,False,True
jadx,4283,797,94,1981,1,310,1102,1,442,34505,19357,Java,True,False,True,True,False,False
wrk,2810,751,1,80,2,127,257,55,71,34469,38743,C,True,True,True,False,False,False
preact,1890,406,304,5313,217,152,1502,98,2021,34396,15304,JavaScript,True,True,True,True,True,True
phaser,6973,1243,545,18802,7,86,4035,13,2238,34371,371532,JavaScript,True,False,True,False,False,True
drawio,6735,587,31,1864,5,330,2662,4,153,34323,1302975,JavaScript,True,True,True,True,True,True
bert,9226,993,28,111,2,773,349,95,104,34225,317,Python,True,True,True,True,False,False
ant-design-pro,7906,762,311,2471,17,265,8856,5,1399,34197,7457,TypeScript,True,True,True,True,True,True
starship,1463,174,478,2744,7,425,1413,117,2719,34182,32180,Rust,True,False,True,False,False,True
sentry,3792,682,630,53736,1302,952,6378,179,40931,34163,394763,Python,True,False,True,False,False,True
tutorials,53547,1524,943,27210,1,23,647,50,13291,34133,375418,Java,True,True,True,True,False,False
hackathon-starter,8106,796,191,2566,1,8,607,8,579,34107,13555,JavaScript,True,False,True,False,False,False
monaco-editor,3275,515,233,3197,6,309,2891,10,435,34062,121326,JavaScript,True,False,True,True,True,True
tidb,5472,1291,817,20545,174,3146,11745,827,28004,34037,457803,Go,True,True,True,True,False,False
tabler,3591,632,94,2346,8,62,680,11,668,34017,136877,HTML,True,True,True,False,True,True
koa,3295,836,230,1183,11,38,849,24,789,33993,3285,JavaScript,True,False,True,True,False,True
og-aws,3681,1219,217,1042,5,138,86,12,571,33920,7680,Shell,True,True,True,False,False,False
lottie-android,5355,848,130,1509,43,22,1545,0,690,33891,136347,Java,True,False,True,False,False,False
JavaFamily,7598,1151,2,218,2,1,59,0,14,33750,396,,True,True,True,True,False,False
deeplearningbook-chinese,9084,2215,16,730,3,61,137,3,31,33740,8908,TeX,True,True,True,True,True,False
type-challenges,3534,134,214,837,42,24218,2521,25,568,33684,2415,TypeScript,True,True,True,False,False,True
shadowsocks-android,11633,1584,43,3682,5,31,2428,2,373,33679,53584,Kotlin,True,True,True,True,False,True
v,2044,490,626,15308,8,872,6407,37,9706,33678,68749,V,True,True,True,True,False,True
first-contributions,59889,492,11699,13405,1,33,555,71,66739,33655,17875,,True,True,True,True,False,False
glide,6059,1056,139,2858,69,409,3846,27,806,33593,95399,Java,True,True,True,True,True,False
nativefier,2104,442,136,1278,1,233,970,1,321,33568,6296,TypeScript,True,False,True,False,False,False
pure-bash-bible,3063,742,21,263,1,41,33,18,41,33531,232,Shell,True,False,True,False,False,False
awesome-cheatsheets,5532,682,126,733,3,24,42,59,204,33472,8883,JavaScript,True,True,True,True,True,False
brackets,7963,1590,371,17847,178,2619,7067,168,5438,33448,92974,JavaScript,True,True,True,True,False,False
shadowsocks,19087,2079,1,1,2,,,14,145,33367,891,Python,False,True,True,True,False,False
caffe,18993,2106,269,4156,7,894,3893,286,1955,33347,76170,C++,True,True,True,True,True,False
AFNetworking,10352,1596,317,2944,6,,,18,1499,33343,6129,Objective-C,False,False,True,True,False,False
uptime-kuma,2858,214,322,4214,56,846,1323,87,873,33292,17475,JavaScript,True,True,True,True,True,False
iina,2406,530,113,3254,26,1501,1921,59,834,33223,266412,Swift,True,False,True,True,False,True
gpt_academic,4048,155,38,906,16,204,430,4,74,33222,24951,Python,True,True,True,True,False,False
Made-With-ML,5442,1215,1,45,1,2,46,10,168,33194,29435,Jupyter Notebook,True,True,True,True,False,False
Microsoft-Activation-Scripts,3655,549,2,80,1,2,150,0,11,33178,7069,Batchfile,True,True,True,True,False,True
clipboard.js,4099,424,61,396,10,7,604,4,222,33140,3036,JavaScript,True,True,True,True,True,True
istio,7104,1010,917,20339,98,524,17075,72,27149,32963,250691,Go,True,False,True,True,False,True
taro,4473,690,501,9876,44,929,8795,47,3472,32896,1433701,TypeScript,True,True,True,True,True,True
awesome-react-native,3983,1114,578,2193,6,32,35,44,1004,32846,5250,JavaScript,True,True,True,True,True,False
sheetjs,8018,610,182,769,3,115,2267,14,306,32836,106471,JavaScript,True,False,True,False,True,False
gulp,4376,1051,248,1198,3,24,1858,3,661,32754,1088,JavaScript,True,True,True,False,False,True
the-way-to-go_ZH_CN,8519,1263,244,1425,1,,,14,687,32707,12602,Go,False,False,True,False,False,False
TaskMatrix,3120,293,15,103,5,180,126,28,61,32706,38780,Python,True,True,True,True,False,False
chakra-ui,2902,205,589,8906,33,103,3132,26,2860,32679,125282,TypeScript,True,True,True,True,False,True
Open-Assistant,2781,413,287,3285,32,389,1060,44,1640,32669,44007,Python,True,True,True,False,True,False
leveldb,7284,1327,56,434,3,192,521,84,279,32644,1653,C++,True,False,False,False,False,False
wtfpython,2556,759,71,499,3,59,119,14,108,32633,1091,Python,True,True,True,True,False,False
carbon,1854,247,178,1854,9,38,596,18,778,32578,20100,JavaScript,True,False,True,False,False,True
immutable-js,1863,523,213,1718,9,99,1122,22,692,32574,50653,TypeScript,True,True,True,True,True,False
955.WLB,1703,723,17,59,1,171,73,19,41,32519,124,,True,True,True,True,False,False
python-cheatsheet,5938,960,11,2376,1,7,53,19,71,32460,11887,Python,True,True,True,True,True,False
segment-anything,3486,239,16,46,2,200,89,24,40,32425,10993,Jupyter Notebook,True,True,True,False,False,False
arthas,6981,1143,180,1889,9,192,1553,57,656,32381,44277,Java,True,True,True,True,True,True
gorm,3571,498,342,2598,2,206,4892,4,1153,32378,4485,Go,True,True,True,True,False,True
metabase,4370,633,346,27079,774,2749,10912,218,16844,32375,406629,Clojure,True,True,True,True,False,False
gold-miner,5007,1274,539,11437,1,0,5559,0,3897,32343,80071,,True,False,True,True,False,True
formik,2680,237,415,1718,59,654,1501,159,1081,32338,13934,TypeScript,True,True,True,False,False,True
black,2083,228,370,1550,19,361,1906,33,1350,32325,7115,Python,True,True,True,True,False,False
hello-algorithm,6218,673,6,401,4,7,32,0,31,32297,365038,Java,True,True,True,True,False,False
cli,5049,832,418,6555,60,399,3058,31,2257,32280,28133,Go,True,True,True,False,False,True
zju-icicles,8855,1100,111,1423,3,9,51,1,222,32274,4154951,HTML,True,True,True,True,True,False
material-design-lite,5180,1196,177,2872,74,366,1809,37,1152,32165,56968,HTML,True,False,False,True,False,False
AndroidUtilCode,10602,1181,39,1430,2,256,1271,12,201,32132,47327,Java,True,False,True,False,True,True
shellcheck,1643,421,135,1900,5,886,1516,11,326,32101,5286,Haskell,True,True,True,True,False,False
XX-Net,7785,1677,73,2497,3,7858,5324,1,483,32004,60810,Python,True,True,True,True,False,False
dbeaver,2858,512,253,24224,90,1730,12817,31,3985,31985,286819,Java,True,True,True,True,True,True
pyenv,2793,382,396,3092,3,28,1572,1,947,31842,4791,Roff,True,True,True,True,False,True
cobra,2680,365,280,993,3,129,891,69,857,31836,1949,Go,True,True,True,True,False,False
aspnetcore,9066,1441,1150,51490,251,2564,26594,41,15316,31691,412458,C#,True,True,True,True,False,False
acme.sh,4307,488,426,5176,8,847,1852,195,1690,31535,6121,Shell,True,True,True,True,False,True
date-fns,1654,208,366,1931,24,422,1190,148,1394,31525,19788,TypeScript,True,False,True,False,False,True
gym,8423,1032,372,1757,124,52,1711,0,1439,31504,7113,Python,True,True,True,True,False,False
devdocs,2128,631,189,5044,19,133,945,27,849,31451,30684,Ruby,True,False,True,False,False,False
ShadowsocksX-NG,7997,947,30,596,3,288,1038,5,113,31436,50650,Swift,True,False,True,True,True,False
ijkplayer,7987,1205,44,2627,6,2755,2519,58,169,31378,8283,C,True,True,True,True,False,False
prisma,1132,235,202,9246,272,2749,5643,139,5280,31346,95160,TypeScript,True,True,True,False,True,True
android-open-project,12005,3659,117,958,1,11,71,16,272,31222,2139,,True,True,True,True,False,False
vim-plug,1925,385,62,693,5,113,865,16,234,31209,8803,Vim Script,True,True,True,True,False,False
typeorm,5785,359,976,5257,3,1907,5552,22,2563,31206,26010,TypeScript,True,False,True,True,False,False
weekly,2213,1898,36,502,1,2394,596,0,84,31194,4454,,True,True,True,True,False,False
appwrite,2668,360,282,15014,337,578,1876,136,2514,31189,244722,TypeScript,True,True,True,False,False,True
netty,15311,1769,617,11147,22,527,5592,34,7074,31178,88132,Java,True,True,True,True,False,True
free,5675,807,2,6511,1,350,157,0,12,31136,34016,,True,True,True,True,False,False
zxing,9318,1683,117,3689,1,5,1197,0,349,31042,241702,Java,True,False,True,True,True,True
12306,9419,838,23,435,10,216,466,57,89,31040,58570,Python,True,True,True,True,False,False
jQuery-File-Upload,8149,1596,99,1265,2,49,3259,0,371,31027,4398,PHP,True,False,True,True,True,False
mitmproxy,3701,619,429,10322,12,248,2788,25,2548,30989,57431,Python,True,True,True,False,False,True
wtfjs,2315,543,84,441,13,9,96,23,165,30913,1549,JavaScript,True,False,True,False,False,True
zustand,966,141,173,889,1,7,580,2,575,30777,5901,TypeScript,True,True,True,True,False,True
awesome-javascript,4242,1092,293,798,1,3,80,38,719,30684,934,,True,False,True,False,False,False
jieba,6671,1290,40,523,2,606,215,51,113,30559,56033,Python,True,True,True,True,False,False
fanqiang,6269,1171,3,1201,1,278,414,0,10,30543,712077,Kotlin,True,True,True,True,True,True
awesome-design-patterns,2434,679,29,104,1,5,4,9,40,30528,91,,True,True,True,True,True,False
carbon-lang,1362,411,116,1658,1,127,386,30,2003,30416,10005,C++,True,True,True,True,False,True
CPlusPlusThings,7287,502,48,306,2,1,197,0,94,30403,1410,C++,True,True,True,True,False,False
tesseract.js,2042,483,68,711,5,20,552,4,176,30377,107318,JavaScript,True,True,True,False,True,False
astro,1557,153,504,5456,281,113,2571,41,4182,30313,140869,TypeScript,True,True,True,False,False,False
aria2,3267,730,60,5321,8,957,770,46,268,30310,31225,C++,True,True,True,True,False,False
PaddleOCR,6240,405,122,5997,15,1560,5613,145,2426,30300,347407,Python,True,True,True,True,False,True
n8n,3508,287,335,8623,528,150,924,162,5002,30269,131103,TypeScript,True,True,True,True,True,False
hackingtool,3499,1049,30,262,2,9,253,7,74,30234,1348,Python,True,True,True,True,False,False
vim,4737,661,191,17866,1,1278,5909,171,5011,30222,210071,Vim Script,True,True,False,True,False,False
metasploit-framework,13169,2020,988,70397,6,403,5138,50,12034,30216,866973,Ruby,True,True,True,True,True,True
airflow,12356,757,2468,19709,43,673,6566,173,20789,30176,238004,Python,True,True,True,False,False,True
awesome-awesomeness,3522,1693,245,576,1,12,51,15,390,30169,381,Ruby,True,True,True,False,False,False
curl,5730,760,922,30361,10,57,3820,39,6752,30098,78386,C,True,False,False,True,False,True
Docker-OSX,1476,353,46,459,18,261,237,7,105,30012,13740,Shell,True,True,True,True,True,True
react-beautiful-dnd,2402,252,127,802,103,507,1029,73,876,29951,14800,JavaScript,True,True,True,False,False,False
diagrams,1894,365,128,511,8,259,178,81,360,29925,51869,Python,True,True,True,True,True,True
certbot,3355,761,468,10785,811,392,4760,57,4444,29908,49498,Python,True,True,True,True,False,False
beego,5570,1207,386,4663,15,12,3242,20,1911,29740,11240,Go,True,True,True,True,False,True
graphql-engine,2639,338,519,7007,89,1979,3578,147,3148,29728,3643605,TypeScript,True,True,True,True,True,True
marked,3323,390,160,2994,1,32,1291,3,1400,29705,8184,JavaScript,True,True,True,False,False,True
HEAD,1965,720,63,367,3,18,73,7,142,29671,668,,True,True,True,True,True,False
googletest,9321,1188,388,4208,5,239,1861,58,1833,29642,12824,C++,True,False,False,False,True,True
vue-cli,6439,645,477,3531,22,903,4536,142,1660,29637,30935,JavaScript,True,True,True,True,False,True
LeetCode-Go,5362,632,46,1640,3,13,59,1,196,29639,19269,Go,True,True,True,True,False,True
Blog,4681,1259,2,322,2,213,97,5,3,29522,4686,,True,True,True,True,False,False
ColossalAI,3443,319,127,2325,8,254,753,22,2522,29488,23586,Python,True,True,True,True,False,True
framework,10063,1000,3128,35696,22,2,17048,15,27092,29474,73895,PHP,True,False,True,False,False,True
foundation-sites,5599,1281,1043,17241,31,43,8128,10,4081,29462,122997,HTML,True,True,True,True,False,True
spring-boot-demo,10141,1008,9,734,9,82,71,30,48,29448,14194,Java,True,True,True,True,False,True
husky,1018,152,106,868,7,16,876,4,348,29440,3745,JavaScript,True,False,True,False,True,True
cs-self-learning,3979,220,93,433,2,60,65,8,194,29431,25091,HTML,True,True,True,True,True,True
compose,4867,705,135,4144,15,165,6652,21,3593,29425,24375,Go,True,False,True,False,False,False
COVID-19,18809,871,7,7691,1603,1680,2081,285,2488,29276,8698144,,True,True,True,True,False,False
phantomjs,5847,1132,371,1958,22,15,4734,0,1137,29255,164709,C++,True,True,True,True,True,False
google-research,7207,722,532,3970,140,725,276,271,224,29232,382839,Jupyter Notebook,True,False,True,False,True,False
reactjs-interview-questions,7216,585,90,437,1,5,79,3,165,29158,2068,JavaScript,True,True,True,True,False,False
p3c,7973,1324,37,290,6,136,694,24,107,29132,27110,Kotlin,True,True,True,True,True,False
react-boilerplate,6183,537,219,1457,33,72,1822,45,1149,29130,8943,JavaScript,True,False,True,False,False,True
es6features,2922,1217,38,109,1,21,36,18,58,29126,199,,True,True,True,False,False,False
odoo,18592,1501,1664,159206,82,2080,14161,3334,100033,29096,6035913,JavaScript,True,False,True,True,False,False
HanLP,8271,1146,35,1730,6,7,1360,2,123,29027,72720,Python,True,True,True,True,False,False
dotfiles,8804,694,121,761,2,139,244,47,558,29000,836,Shell,True,True,True,False,False,False
interview,7382,865,23,367,1,15,40,3,45,28935,6084,C++,True,True,True,True,True,False
tmux,1903,431,6,10030,3,31,3002,2,523,28921,16871,C,True,False,True,True,False,True
spring-boot-examples,12276,1337,8,213,2,5,99,0,47,28909,1073,Java,True,True,True,True,False,False
vimrc,7177,781,82,472,1,8,489,5,227,28891,24841,Vim Script,True,True,True,True,False,False
libpku,8256,1233,15,132,1,10,31,5,29,28883,714371,TeX,True,True,True,True,False,False
rxjs,2948,452,529,5265,17,204,2889,48,3759,28864,124863,TypeScript,True,True,True,False,True,True
pandoc,3119,512,462,16574,59,897,5946,75,1805,28852,61707,Haskell,True,True,True,True,False,False
MockingBird,4300,274,34,176,10,410,386,6,76,28729,130830,Python,True,True,True,True,False,True
project-guidelines,3280,632,76,169,4,10,28,3,127,28701,498,JavaScript,True,True,True,True,False,False
ClickHouse,5699,681,1241,114997,6675,2810,12874,335,33526,28696,1058420,C++,True,True,True,True,False,True
GFPGAN,4520,423,11,106,1,207,106,12,27,28637,5534,Python,True,True,True,True,False,True
awesome-php,5035,1784,272,1567,1,1,123,102,964,28631,1308,,True,False,True,False,False,False
50projects50days,7716,534,35,148,1,,,55,84,28585,498,CSS,False,True,True,True,False,False
REKCARC-TSC-UHT,7208,876,55,184,1,1,26,0,134,28512,4412744,HTML,True,True,True,True,False,False
Prompt-Engineering-Guide,2442,357,66,585,10,32,23,7,106,28495,8942,Jupyter Notebook,True,True,True,True,False,False
leakcanary,3932,989,133,2014,159,81,1422,5,976,28446,137796,Kotlin,True,False,True,False,True,False
Hover,5822,865,21,132,4,23,83,17,48,28442,994,SCSS,True,True,True,True,True,False
lottie-web,2841,446,88,2357,65,650,2097,38,180,28404,397139,JavaScript,True,False,True,True,False,False
Awesome-Design-Tools,1970,532,226,1649,12,7,25,70,315,28391,19220,JavaScript,True,True,True,True,False,False
symfony,9087,1140,2772,64750,28,531,17972,232,29831,28305,253344,PHP,True,True,False,False,False,True
500lines,5934,1819,61,3297,16,30,39,27,203,28258,60251,JavaScript,True,True,True,True,False,False
todomvc,13957,1141,322,2905,9,136,629,60,1249,28213,73004,JavaScript,True,False,True,True,True,False
programmer-job-blacklist,1858,1230,15,147,1,150,182,9,33,28205,329,Shell,True,True,True,True,True,False
ccxt,6935,931,619,73037,21,745,7884,342,8857,28203,3173748,Python,True,True,True,True,True,False
standard,2419,471,175,1948,10,90,1111,11,647,28181,3558,JavaScript,True,False,True,False,False,False
html2canvas,4628,513,50,1066,6,837,1639,61,411,28175,117300,TypeScript,True,True,True,False,True,True
linux-insides,3202,1347,287,1911,1,25,150,5,645,28150,21247,Python,True,False,True,False,False,False
android_guides,6457,2114,9,62,1,160,219,2,21,28108,1100,,True,True,True,True,False,False
insomnia,1488,230,277,4009,3,474,2491,13,2368,28073,117774,JavaScript,True,False,True,True,False,True
apollo,10135,1275,142,2837,15,143,2878,7,1608,28048,52506,Java,True,True,True,True,True,True
vuex,9595,772,313,1209,14,87,1164,46,915,28030,16993,JavaScript,True,True,True,False,True,False
nvm-windows,2817,421,72,440,7,72,674,5,140,28019,33148,Go,True,True,True,True,True,True
backbone,5539,1308,322,3454,4,45,2352,26,1823,28008,27144,JavaScript,True,True,True,True,True,False
slick,5985,558,149,925,5,1178,2382,206,480,27976,3677,JavaScript,True,True,True,False,False,False
NeteaseCloudMusicApi,13333,351,86,1317,14,114,1147,11,399,27934,16098,JavaScript,True,True,True,False,True,True
sequelize,4195,421,1053,10022,45,763,9299,73,5498,27874,43688,JavaScript,True,True,True,False,False,True
webtorrent,2687,700,170,3320,9,80,1492,10,870,27864,15005,JavaScript,True,False,True,False,True,True
async,2455,671,232,1883,12,11,1101,12,768,27857,6820,JavaScript,True,True,True,True,True,False
Coursera-ML-AndrewNg-Notes,10143,997,16,117,2,49,15,12,19,27736,684224,HTML,True,True,True,True,True,False
easyexcel,7053,591,60,1059,9,192,2596,45,323,27723,26567,Java,True,True,True,True,False,True
swift-algorithm-club,4922,1562,256,2534,11,30,182,31,767,27712,14104,Swift,True,True,True,True,True,False
httpie,3761,73,145,1746,10,138,677,15,567,27702,6911,Python,True,False,True,False,False,False
ImHex,1242,417,93,2591,8,122,587,1,312,27680,25277,C++,True,True,True,True,False,True
vault,3812,815,1200,17271,2274,869,4605,386,14616,27663,247734,Go,True,False,True,False,False,True
Python,11589,2457,646,3163,1,210,111,92,1463,27640,30922,Python,True,True,True,True,False,False
composer,6614,596,949,12107,4,132,7233,18,3721,27621,25531,PHP,True,False,True,False,False,True
solid,740,219,141,1605,4,26,719,9,353,27570,13802,TypeScript,True,True,True,True,False,True
learnGitBranching,5554,533,255,2768,20,24,422,1,592,27528,41403,JavaScript,True,True,True,True,True,True
yew,1321,307,375,2458,25,99,1049,18,1856,27500,14047,Rust,True,True,True,True,True,True
postcss,1564,519,374,3882,5,16,900,1,867,27472,10255,TypeScript,True,False,True,True,True,True
awesome-macos-command-line,1510,758,81,1,1,,,0,181,27455,0,,False,False,True,False,True,False
Files,1772,368,231,4625,9,377,7404,16,4398,27435,176530,C#,True,True,True,False,False,False
