Forks,Watchers,Contributors,Commits,Branches,Open Issues,Closed Issues,Open PRs,Closed PRs,Size,Language,Has Issues,Has Projects,Has Downloads,Has Wiki,Has Pages,Has Discussions,Stargazers
22016,511,132,702,6,48.0,553.0,5,931,2410.0,29,True,False,True,True,True,True,35166
3516,595,268,5158,62,8.0,2835.0,7,2201,95651.0,18,True,False,True,False,False,True,68293
8448,1029,332,7341,13,719.0,4076.0,136,967,98305.0,3,True,False,True,True,False,True,47491
2038,618,11,72,2,15.0,13.0,48,43,927.0,9,True,True,True,False,True,False,21977
9226,993,28,111,2,773.0,349.0,95,104,317.0,1,True,True,True,True,False,False,34225
1005,293,98,3616,3,295.0,2439.0,24,325,17533.0,9,True,False,True,False,False,False,35276
8688,1380,89,5389,14,21.0,2497.0,13,530,55238.0,9,True,False,True,False,False,False,42413
